IsPanel	Description	Gene	Lookup_Transcript	Reported_Transcript
0	NA	C2orf80	NM_001099334.2	NM_001099334
0	NA	C2orf81	NM_001145054.1	NM_001145054
0	NA	C2orf82	NM_206895.1	NM_206895
0	NA	C2orf83	NM_020161.3	NM_020161
0	NA	C2orf88	NM_032321.2	NM_032321
0	NA	C3	NM_000064.2	NM_000064
0	NA	C3AR1	NM_004054.2	NM_004054
0	NA	C3orf14	NM_020685.3	NM_020685
0	NA	C3orf17	NM_015412.3	NM_015412
0	NA	C3orf18	NM_001171741.2	NM_001171741
0	NA	C3orf20	NM_032137.4	NM_032137
0	NA	C3orf22	NM_152533.1	NM_152533
0	NA	C3orf27	NM_007354.2	NM_007354
0	NA	C3orf30	NM_152539.2	NM_152539
0	NA	C3orf33	NM_173657.1	NM_173657
0	NA	C3orf35	NM_178339.2	NM_178339
0	NA	C3orf36	NM_025041.2	NM_025041
0	NA	C3orf37	NM_020187.2	NM_020187
0	NA	C3orf38	NM_173824.3	NM_173824
0	NA	C3orf43	NM_001077657.1	NM_001077657
0	NA	C3orf45	NM_153215.1	NM_153215
0	NA	C3orf52	NM_024616.2	NM_024616
0	NA	C3orf55	NM_001130002.2	NM_001130002
0	NA	C3orf58	NM_173552.3	NM_173552
0	NA	C3orf62	NM_198562.2	NM_198562
0	NA	C3orf67	NM_198463.2	NM_198463
0	NA	C3orf70	NM_001025266.1	NM_001025266
0	NA	C3orf72	NM_001040061.2	NM_001040061
0	NA	C3orf79	NM_001101337.1	NM_001101337
0	NA	C3orf80	NM_001168214.1	NM_001168214
0	NA	C4BPA	NM_000715.3	NM_000715
0	NA	C4BPB	NM_001017365.1	NM_001017365
0	NA	C4orf17	NM_032149.2	NM_032149
0	NA	C4orf19	NM_001104629.1	NM_001104629
0	NA	C4orf21	NM_018392.4	NM_018392
0	NA	C4orf22	NM_001206997.1	NM_001206997
0	NA	C4orf26	NM_001206981.1	NM_001206981
0	NA	C4orf27	NM_017867.2	NM_017867
0	NA	C4orf29	NM_001039717.1	NM_001039717
0	NA	C4orf3	NM_001170330.1	NM_001170330
0	NA	C4orf32	NM_152400.2	NM_152400
0	NA	C4orf33	NM_001099783.1	NM_001099783
0	NA	C4orf34	NM_174921.1	NM_174921
0	NA	C4orf36	NM_144645.3	NM_144645
0	NA	C4orf40	NM_214711.3	NM_214711
0	NA	C4orf45	NM_152543.2	NM_152543
0	NA	C4orf46	NM_001008393.3	NM_001008393
0	NA	C4orf47	NM_001114357.1	NM_001114357
0	NA	C4orf48	NM_001168243.1	NM_001168243
0	NA	C4orf51	NM_001080531.1	NM_001080531
0	NA	C4orf52	NM_001145432.1	NM_001145432
0	NA	C4orf6	NM_005750.2	NM_005750
0	NA	C5	NM_001735.2	NM_001735
0	NA	C5AR1	NM_001736.3	NM_001736
0	NA	C5orf15	NM_020199.2	NM_020199
0	NA	C5orf20	NM_130848.2	NM_130848
0	NA	C5orf22	NM_018356.2	NM_018356
0	NA	C5orf24	NM_001135586.1	NM_001135586
0	NA	C5orf28	NM_022483.4	NM_022483
0	NA	C5orf30	NM_033211.2	NM_033211
0	NA	C5orf34	NM_198566.2	NM_198566
0	NA	C5orf38	NM_178569.2	NM_178569
0	NA	C5orf4	NM_032385.3	NM_032385
0	NA	C5orf42	NM_023073.3	NM_023073
0	NA	C5orf43	NM_001048249.3	NM_001048249
0	NA	C5orf44	NM_001093755.1	NM_001093755
0	NA	C5orf45	NM_016175.3	NM_016175
0	NA	C5orf46	NM_206966.2	NM_206966
0	NA	C5orf47	NM_001144954.1	NM_001144954
0	NA	C5orf48	NM_207408.1	NM_207408
0	NA	C5orf49	NM_001089584.2	NM_001089584
0	NA	C5orf51	NM_175921.4	NM_175921
0	NA	C5orf52	NM_001145132.1	NM_001145132
0	NA	C5orf54	NM_022090.3	NM_022090
0	NA	C5orf55	NM_138464.2	NM_138464
0	NA	C5orf58	NM_001102609.1	NM_001102609
0	NA	C5orf60	NM_001142306.1	NM_001142306
0	NA	C5orf63	NM_001164478.1	NM_001164478
0	NA	C5orf64	NM_173667.2	NM_173667
0	NA	C6	NM_000065.3	NM_000065
0	NA	C6orf1	NM_001008704.1	NM_001008704
0	NA	C6orf10	NM_006781.3	NM_006781
0	NA	C6orf106	NM_024294.2	NM_024294
0	NA	C6orf108	NM_006443.2	NM_006443
0	NA	C6orf118	NM_144980.3	NM_144980
0	NA	C6orf120	NM_001029863.1	NM_001029863
0	NA	C6orf132	NM_001164446.1	NM_001164446
0	NA	C6orf136	NM_001161376.1	NM_001161376
0	NA	C6orf141	NM_001145652.1	NM_001145652
0	NA	C6orf15	NM_014070.2	NM_014070
0	NA	C6orf162	NM_020425.4	NM_020425
0	NA	C6orf163	NM_001010868.2	NM_001010868
0	NA	C6orf165	NM_001031743.2	NM_001031743
0	NA	C6orf170	NM_152730.4	NM_152730
0	NA	C6orf195	NM_152554.2	NM_152554
0	NA	C6orf201	NM_001085401.2	NM_001085401
0	NA	C6orf203	NM_016487.3	NM_016487
0	NA	C6orf211	NM_024573.1	NM_024573
0	NA	C6orf222	NM_001010903.4	NM_001010903
0	NA	C6orf223	NM_153246.4	NM_153246
0	NA	C6orf225	NM_001033564.1	NM_001033564
0	NA	C6orf226	NM_001008739.1	NM_001008739
0	NA	C6orf228	NM_001135575.1	NM_001135575
0	NA	C6orf25	NM_138272.2	NM_138272
0	NA	C6orf47	NM_021184.3	NM_021184
0	NA	C6orf48	NM_001040438.1	NM_001040438
0	NA	C6orf52	NM_001145020.1	NM_001145020
0	NA	C6orf57	NM_145267.2	NM_145267
0	NA	C6orf58	NM_001010905.2	NM_001010905
0	NA	C6orf62	NM_030939.4	NM_030939
0	NA	C6orf7	NM_001243308	NM_001243308
0	NA	C6orf70	NM_018341.2	NM_018341
0	NA	C6orf89	NM_152734.3	NM_152734
0	NA	C6orf99	NM_001195032.1	NM_001195032
0	NA	C7	NM_000587.2	NM_000587
0	NA	C7orf10	NM_001193311.1	NM_001193311
0	NA	C7orf23	NM_024315.2	NM_024315
0	NA	C7orf25	NM_001099858.1	NM_001099858
0	NA	C7orf26	NM_024067.2	NM_024067
0	NA	C7orf29	NM_138434.2	NM_138434
0	NA	C7orf31	NM_138811.3	NM_138811
0	NA	C7orf33	NM_145304.2	NM_145304
0	NA	C7orf34	NM_178829.4	NM_178829
0	NA	C7orf41	NM_152793.2	NM_152793
0	NA	C7orf43	NM_018275.3	NM_018275
0	NA	C7orf45	NM_145268.3	NM_145268
0	NA	C7orf49	NM_024033.3	NM_024033
0	NA	C7orf50	NM_001134396.1	NM_001134396
0	NA	C7orf53	NM_001134468.1	NM_001134468
0	NA	C7orf57	NM_001100159.2	NM_001100159
0	NA	C7orf60	NM_152556.2	NM_152556
0	NA	C7orf61	NM_001004323.1	NM_001004323
0	NA	C7orf62	NM_152706.3	NM_152706
0	NA	C7orf63	NM_001039706.2	NM_001039706
0	NA	C7orf65	NM_001123065.1	NM_001123065
0	NA	C7orf66	NM_001024607.1	NM_001024607
0	NA	C7orf69	NM_025031.2	NM_025031
0	NA	C7orf71	NM_001145531.1	NM_001145531
0	NA	C7orf72	NM_001161834.2	NM_001161834
0	NA	C7orf73	NM_001130929.1	NM_001130929
0	NA	C8A	NM_000562.2	NM_000562
0	NA	C8B	NM_000066.3	NM_000066
0	NA	C8G	NM_000606.2	NM_000606
0	NA	C8orf22	NM_001007176.4	NM_001007176
0	NA	C8orf31	NM_173687.2	NM_173687
0	NA	C8orf33	NM_023080.2	NM_023080
0	NA	C8orf34	NM_052958.2	NM_052958
0	NA	C8orf37	NM_177965.3	NM_177965
0	NA	C8orf4	NM_020130.4	NM_020130
0	NA	C8orf40	NM_001135676.1	NM_001135676
0	NA	C8orf42	NM_175075.4	NM_175075
0	NA	C8orf44	NM_019607.2	NM_019607
0	NA	C8orf46	NM_152765.3	NM_152765
0	NA	C8orf47	NM_173549.2	NM_173549
0	NA	C8orf48	NM_001007090.2	NM_001007090
0	NA	C8orf58	NM_001013842.2	NM_001013842
0	NA	C8orf59	NM_001099673.1	NM_001099673
0	NA	C8orf73	NM_001100878.1	NM_001100878
0	NA	C8orf74	NM_001040032.1	NM_001040032
0	NA	C8orf76	NM_032847.2	NM_032847
0	NA	C8orf82	NM_001001795.1	NM_001001795
0	NA	C8orf86	NM_207412.1	NM_207412
0	NA	C9	NM_001737.3	NM_001737
0	NA	C9orf106	NM_001012715	NM_001012715
0	NA	C9orf114	NM_016390.3	NM_016390
0	NA	C9orf116	NM_001048265.1	NM_001048265
0	NA	C9orf117	NM_001012502.2	NM_001012502
0	NA	C9orf123	NM_033428.1	NM_033428
0	NA	C9orf129	NM_001098808.1	NM_001098808
0	NA	C9orf131	NM_203299.2	NM_203299
0	NA	C9orf135	NM_001010940.1	NM_001010940
0	NA	C9orf139	NM_207511.1	NM_207511
0	NA	C9orf142	NM_183241.1	NM_183241
0	NA	C9orf152	NM_001012993.2	NM_001012993
0	NA	C9orf153	NM_001010907	NM_001010907
0	NA	C9orf156	NM_016481.3	NM_016481
0	NA	C9orf16	NM_024112.3	NM_024112
0	NA	C9orf163	NM_152571.2	NM_152571
0	NA	C9orf169	NM_199001.2	NM_199001
0	NA	C9orf170	NM_001001709.2	NM_001001709
0	NA	C9orf171	NM_207417.1	NM_207417
0	NA	C9orf172	NM_001080482.2	NM_001080482
0	NA	C9orf173	NM_001004353.3	NM_001004353
0	NA	C9orf174	NM_020893.2	NM_020893
0	NA	C9orf24	NM_032596.3	NM_032596
0	NA	C9orf3	NM_001193329.1	NM_001193329
0	NA	C9orf37	NM_032937.4	NM_032937
0	NA	C9orf40	NM_017998.2	NM_017998
0	NA	C9orf41	NM_152420.1	NM_152420
0	NA	C9orf43	NM_152786.2	NM_152786
0	NA	C9orf47	NM_001142413.1	NM_001142413
0	NA	C9orf50	NM_199350.3	NM_199350
0	NA	C9orf57	NM_001128618.1	NM_001128618
0	NA	C9orf64	NM_032307.3	NM_032307
0	NA	C9orf66	NM_152569.2	NM_152569
0	NA	C9orf69	NM_152833.2	NM_152833
0	NA	C9orf72	NM_018325.3	NM_018325
0	NA	C9orf78	NM_016520.2	NM_016520
0	NA	C9orf84	NM_173521.3	NM_173521
0	NA	C9orf85	NM_182505.3	NM_182505
0	NA	C9orf89	NM_032310.3	NM_032310
0	NA	C9orf9	NM_018956.3	NM_018956
0	NA	C9orf91	NM_153045.3	NM_153045
0	NA	C9orf96	NM_153710.4	NM_153710
0	NA	CA1	NM_001128831.2	NM_001128831
0	NA	CA10	NM_001082533.1	NM_001082533
0	NA	CA11	NM_001217.3	NM_001217
0	NA	CA12	NM_001218.3	NM_001218
0	NA	CA13	NM_198584.2	NM_198584
0	NA	CA14	NM_012113.1	NM_012113
0	NA	CA2	NM_000067.2	NM_000067
0	NA	CA3	NM_005181.3	NM_005181
0	NA	CA4	NM_000717.3	NM_000717
0	NA	CA5A	NM_001739.1	NM_001739
0	NA	CA5B	NM_007220.3	NM_007220
0	NA	CA6	NM_001215.3	NM_001215
0	NA	CA7	NM_005182.2	NM_005182
0	NA	CA8	NM_004056.4	NM_004056
0	NA	CA9	NM_001216.2	NM_001216
0	NA	CAB39	NM_016289.3	NM_016289
0	NA	CAB39L	NM_030925.2	NM_030925
0	NA	CABIN1	NM_012295.3	NM_012295
0	NA	CABLES1	NM_001100619.2	NM_001100619
0	NA	CABLES2	NM_031215.2	NM_031215
0	NA	CABP1	NM_001033677.1	NM_001033677
0	NA	CABP2	NM_016366.2	NM_016366
0	NA	CABP4	NM_145200.3	NM_145200
0	NA	CABP5	NM_019855.4	NM_019855
0	NA	CABP7	NM_182527.2	NM_182527
0	NA	CABS1	NM_033122.3	NM_033122
0	NA	CABYR	NM_012189.3	NM_012189
0	NA	CACHD1	NM_020925.2	NM_020925
0	NA	CACNA1A	NM_001127222.1	NM_001127222
0	NA	CACNA1B	NM_000718.3	NM_000718
0	NA	CACNA1C	NM_001129827.1	NM_001129827
0	NA	CACNA1D	NM_000720.3	NM_000720
0	NA	CACNA1E	NM_001205293.1	NM_001205293
0	NA	CACNA1F	NM_005183.2	NM_005183
0	NA	CACNA1G	NM_018896.4	NM_018896
0	NA	CACNA1H	NM_021098.2	NM_021098
0	NA	CACNA1I	NM_001003406.1	NM_001003406
0	NA	CACNA1S	NM_000069.2	NM_000069
0	NA	CACNA2D1	NM_000722.2	NM_000722
0	NA	CACNA2D2	NM_001174051.1	NM_001174051
0	NA	CACNA2D3	NM_018398.2	NM_018398
0	NA	CACNA2D4	NM_172364.4	NM_172364
0	NA	CACNB1	NM_000723.4	NM_000723
0	NA	CACNB2	NM_201596.2	NM_201596
0	NA	CACNB3	NM_001206917.1	NM_001206917
0	NA	CACNB4	NM_000726.3	NM_000726
0	NA	CACNG1	NM_000727.3	NM_000727
0	NA	CACNG2	NM_006078.3	NM_006078
0	NA	CACNG3	NM_006539.3	NM_006539
0	NA	CACNG4	NM_014405.3	NM_014405
0	NA	CACNG5	NM_145811.2	NM_145811
0	NA	CACNG6	NM_145814.1	NM_145814
0	NA	CACNG7	NM_031896.4	NM_031896
0	NA	CACNG8	NM_031895.5	NM_031895
0	NA	CACYBP	NM_014412.2	NM_014412
0	NA	CAD	NM_004341.3	NM_004341
0	NA	CADM1	NM_014333.3	NM_014333
0	NA	CADM2	NM_001167674.1	NM_001167674
0	NA	CADM3	NM_021189.3	NM_021189
0	NA	CADM4	NM_145296.1	NM_145296
0	NA	CADPS	NM_003716.3	NM_003716
0	NA	CADPS2	NM_001009571.3	NM_001009571
0	NA	CAGE1	NM_001170692.1	NM_001170692
0	NA	CALB1	NM_004929.2	NM_004929
0	NA	CALB2	NM_001740.4	NM_001740
0	NA	CALCA	NM_001033952.2	NM_001033952
0	NA	CALCB	NM_000728.3	NM_000728
0	NA	CALCOCO1	NM_020898.2	NM_020898
0	NA	CALCOCO2	NM_005831.4	NM_005831
0	NA	CALCR	NM_001742.3	NM_001742
0	NA	CALCRL	NM_005795.5	NM_005795
0	NA	CALD1	NM_033138.3	NM_033138
0	NA	CALHM1	NM_001001412.3	NM_001001412
0	NA	CALHM2	NM_015916.4	NM_015916
0	NA	CALHM3	NM_001129742.1	NM_001129742
0	NA	CALM1	NM_006888.4	NM_006888
0	NA	CALM2	NM_001743.4	NM_001743
0	NA	CALM3	NM_005184.2	NM_005184
0	NA	CALML3	NM_005185.2	NM_005185
0	NA	CALML4	NM_033429.2	NM_033429
0	NA	CALML5	NM_017422.4	NM_017422
0	NA	CALML6	NM_138705.2	NM_138705
0	NA	CALN1	NM_031468.3	NM_031468
0	NA	CALR3	NM_145046.4	NM_145046
0	NA	CALU	NM_001219.4	NM_001219
0	NA	CALY	NM_015722.3	NM_015722
0	NA	CAMK1	NM_003656.4	NM_003656
0	NA	CAMK1D	NM_153498.2	NM_153498
0	NA	CAMK1G	NM_020439.2	NM_020439
0	NA	CAMK2A	NM_015981.3	NM_015981
0	NA	CAMK2B	NM_001220.4	NM_001220
0	NA	CAMK2D	NM_001221.3	NM_001221
0	NA	CAMK2G	NM_172171.2	NM_172171
0	NA	CAMK2N1	NM_018584.5	NM_018584
0	NA	CAMK2N2	NM_033259.2	NM_033259
0	NA	CAMK4	NM_001744.4	NM_001744
0	NA	CAMKK1	NM_172206.1	NM_172206
0	NA	CAMKK2	NM_006549.3	NM_006549
0	NA	CAMKMT	NM_024766.4	NM_024766
0	NA	CAMKV	NM_024046.3	NM_024046
0	NA	CAMLG	NM_001745.3	NM_001745
0	NA	CAMP	NM_004345.4	NM_004345
0	NA	CAMSAP1	NM_015447.3	NM_015447
0	NA	CAMSAP2	NM_203459.1	NM_203459
0	NA	CAMSAP3	NM_001080429.2	NM_001080429
0	NA	CAMTA1	NM_015215.2	NM_015215
0	NA	CAMTA2	NM_001171167.1	NM_001171167
0	NA	CAND1	NM_018448.3	NM_018448
0	NA	CAND2	NM_001162499.1	NM_001162499
0	NA	CANT1	NM_001159773.1	NM_001159773
0	NA	CANX	NM_001024649.1	NM_001024649
0	NA	CAP1	NM_001105530.1	NM_001105530
0	NA	CAP2	NM_006366.2	NM_006366
0	NA	CAPG	NM_001747.3	NM_001747
0	NA	CAPN1	NM_001198868.1	NM_001198868
0	NA	CAPN10	NM_023083.3	NM_023083
0	NA	CAPN11	NM_007058.3	NM_007058
0	NA	CAPN12	NM_144691.3	NM_144691
0	NA	CAPN13	NM_144575.2	NM_144575
0	NA	CAPN14	NM_001145122.1	NM_001145122
0	NA	CAPN2	NM_001748.4	NM_001748
0	NA	CAPN3	NM_024344.1	NM_024344
0	NA	CAPN5	NM_004055.4	NM_004055
0	NA	CAPN6	NM_014289.3	NM_014289
0	NA	CAPN7	NM_014296.2	NM_014296
0	NA	CAPN8	NM_001143962.1	NM_001143962
0	NA	CAPN9	NM_006615.2	NM_006615
0	NA	CAPNS1	NM_001749.2	NM_001749
0	NA	CAPNS2	NM_032330.1	NM_032330
0	NA	CAPRIN1	NM_005898.4	NM_005898
0	NA	CAPRIN2	NM_001002259.1	NM_001002259
0	NA	CAPS	NM_004058.3	NM_004058
0	NA	CAPS2	NM_032606.3	NM_032606
0	NA	CAPSL	NM_144647.3	NM_144647
0	NA	CAPZA1	NM_006135.2	NM_006135
0	NA	CAPZA2	NM_006136.2	NM_006136
0	NA	CAPZA3	NM_033328.2	NM_033328
0	NA	CAPZB	NM_001206540.1	NM_001206540
0	NA	CARD10	NM_014550.3	NM_014550
0	NA	CARD14	NM_024110.4	NM_024110
0	NA	CARD18	NM_021571.3	NM_021571
0	NA	CARD6	NM_032587.3	NM_032587
0	NA	CARD8	NM_001184901.1	NM_001184901
0	NA	CARD9	NM_052813.4	NM_052813
0	NA	CARHSP1	NM_014316.3	NM_014316
0	NA	CARKD	NM_018210.3	NM_018210
0	NA	CARNS1	NM_001166222.1	NM_001166222
0	NA	CARS	NM_001014437.2	NM_001014437
0	NA	CARS2	NM_024537.2	NM_024537
0	NA	CARTPT	NM_004291.3	NM_004291
0	NA	CASC1	NM_018272.3	NM_018272
0	NA	CASC3	NM_007359.4	NM_007359
0	NA	CASC4	NM_138423.3	NM_138423
0	NA	CASC5	NM_144508.4	NM_144508
0	NA	CASD1	NM_022900.4	NM_022900
0	NA	CASK	NM_003688.3	NM_003688
0	NA	CASKIN1	NM_020764.3	NM_020764
0	NA	CASKIN2	NM_020753.4	NM_020753
0	NA	CASP1	NM_033292.3	NM_033292
0	NA	CASP10	NM_032977.3	NM_032977
0	NA	CASP12	NM_001191016.1	NM_001191016
0	NA	CASP14	NM_012114.2	NM_012114
0	NA	CASP2	NM_032982.3	NM_032982
0	NA	CASP3	NM_032991.2	NM_032991
0	NA	CASP4	NM_001225.3	NM_001225
0	NA	CASP5	NM_001136112.1	NM_001136112
0	NA	CASP6	NM_001226.3	NM_001226
0	NA	CASP7	NM_033338.5	NM_033338
0	NA	CASP8AP2	NM_001137668	NM_001137668
0	NA	CASP9	NM_001229.4	NM_001229
0	NA	CASQ1	NM_001231.4	NM_001231
0	NA	CASQ2	NM_001232.3	NM_001232
0	NA	CASR	NM_000388.3	NM_000388
0	NA	CASS4	NM_020356.3	NM_020356
0	NA	CAST	NM_001042440.2	NM_001042440
0	NA	CASZ1	NM_001079843.2	NM_001079843
0	NA	CAT	NM_001752.3	NM_001752
0	NA	CATSPER1	NM_053054.3	NM_053054
0	NA	CATSPER2	NM_172095.1	NM_172095
0	NA	CATSPER3	NM_178019.2	NM_178019
0	NA	CATSPER4	NM_198137.1	NM_198137
0	NA	CATSPERB	NM_024764.2	NM_024764
0	NA	CATSPERG	NM_021185.4	NM_021185
0	NA	CAV1	NM_001753.4	NM_001753
0	NA	CAV2	NM_001233.4	NM_001233
0	NA	CAV3	NM_033337.2	NM_033337
0	NA	CBFA2T2	NM_001032999.2	NM_001032999
0	NA	CBFA2T3	NM_005187.5	NM_005187
0	NA	CBLB	NM_170662.3	NM_170662
0	NA	CBLC	NM_012116.3	NM_012116
0	NA	CBLL1	NM_024814.2	NM_024814
0	NA	CBLN1	NM_004352.3	NM_004352
0	NA	CBLN2	NM_182511.3	NM_182511
0	NA	CBLN3	NM_001039771.2	NM_001039771
0	NA	CBLN4	NM_080617.5	NM_080617
0	NA	CBR1	NM_001757.2	NM_001757
0	NA	CBR3	NM_001236.3	NM_001236
0	NA	CBR4	NM_032783.4	NM_032783
0	NA	CBS	NM_001178008.1	NM_001178008
0	NA	CBWD1	NM_018491.3	NM_018491
0	NA	CBWD2	NM_172003.3	NM_172003
0	NA	CBWD3	NM_201453.2	NM_201453
0	NA	CBWD6	NM_001085457.1	NM_001085457
0	NA	CBX1	NM_006807.4	NM_006807
0	NA	CBX2	NM_005189.2	NM_005189
0	NA	CBX3	NM_016587.3	NM_016587
0	NA	CBX4	NM_003655.2	NM_003655
0	NA	CBX5	NM_001127321.1	NM_001127321
0	NA	CBX6	NM_014292.3	NM_014292
0	NA	CBX7	NM_175709.3	NM_175709
0	NA	CBX8	NM_020649.2	NM_020649
0	NA	CBY1	NM_001002880.1	NM_001002880
0	NA	CBY3	NM_001164444.1	NM_001164444
0	NA	CC2D1A	NM_017721.4	NM_017721
0	NA	CC2D1B	NM_032449.2	NM_032449
0	NA	CC2D2A	NM_001080522.2	NM_001080522
0	NA	CC2D2B	NM_001159747.1	NM_001159747
0	NA	CCAR1	NM_018237.2	NM_018237
0	NA	CCBE1	NM_133459.3	NM_133459
0	NA	CCBL1	NM_004059.4	NM_004059
0	NA	CCBL2	NM_001008661.2	NM_001008661
0	NA	CCBP2	NM_001296.4	NM_001296
0	NA	CCDC101	NM_138414.2	NM_138414
0	NA	CCDC102A	NM_033212.3	NM_033212
0	NA	CCDC102B	NM_024781.2	NM_024781
0	NA	CCDC103	NM_213607.2	NM_213607
0	NA	CCDC104	NM_080667.5	NM_080667
0	NA	CCDC105	NM_173482.2	NM_173482
0	NA	CCDC106	NM_013301.2	NM_013301
0	NA	CCDC107	NM_174923.2	NM_174923
0	NA	CCDC108	NM_194302.3	NM_194302
0	NA	CCDC109B	NM_017918.4	NM_017918
0	NA	CCDC11	NM_145020.3	NM_145020
0	NA	CCDC110	NM_152775.3	NM_152775
0	NA	CCDC111	NM_152683.2	NM_152683
0	NA	CCDC112	NM_001040440.2	NM_001040440
0	NA	CCDC113	NM_014157.3	NM_014157
0	NA	CCDC114	NM_144577.3	NM_144577
0	NA	CCDC115	NM_032357.2	NM_032357
0	NA	CCDC116	NM_152612.2	NM_152612
0	NA	CCDC117	NM_173510.2	NM_173510
0	NA	CCDC12	NM_144716.5	NM_144716
0	NA	CCDC120	NM_001163321.2	NM_001163321
0	NA	CCDC121	NM_001142683.2	NM_001142683
0	NA	CCDC122	NM_144974.3	NM_144974
0	NA	CCDC124	NM_001136203.1	NM_001136203
0	NA	CCDC125	NM_176816.3	NM_176816
0	NA	CCDC126	NM_138771.3	NM_138771
0	NA	CCDC127	NM_145265.2	NM_145265
0	NA	CCDC129	NM_194300.3	NM_194300
0	NA	CCDC13	NM_144719.3	NM_144719
0	NA	CCDC130	NM_030818.2	NM_030818
0	NA	CCDC132	NM_017667.3	NM_017667
0	NA	CCDC134	NM_024821.2	NM_024821
0	NA	CCDC135	NM_032269.5	NM_032269
0	NA	CCDC136	NM_022742.4	NM_022742
0	NA	CCDC137	NM_199287.2	NM_199287
0	NA	CCDC138	NM_144978.1	NM_144978
0	NA	CCDC14	NM_022757.4	NM_022757
0	NA	CCDC140	NM_153038.1	NM_153038
0	NA	CCDC141	NM_173648.3	NM_173648
0	NA	CCDC142	NM_032779.3	NM_032779
0	NA	CCDC144A	NM_014695.1	NM_014695
0	NA	CCDC144NL	NM_001004306.1	NM_001004306
0	NA	CCDC146	NM_020879.2	NM_020879
0	NA	CCDC147	NM_001008723.1	NM_001008723
0	NA	CCDC148	NM_138803.3	NM_138803
0	NA	CCDC149	NM_001130726.2	NM_001130726
0	NA	CCDC15	NM_025004.2	NM_025004
0	NA	CCDC150	NM_001080539.1	NM_001080539
0	NA	CCDC151	NM_145045.4	NM_145045
0	NA	CCDC152	NM_001134848.1	NM_001134848
0	NA	CCDC153	NM_001145018.1	NM_001145018
0	NA	CCDC154	NM_001143980.1	NM_001143980
0	NA	CCDC155	NM_144688.4	NM_144688
0	NA	CCDC157	NM_001017437.2	NM_001017437
0	NA	CCDC158	NM_001042784.1	NM_001042784
0	NA	CCDC159	NM_001080503.2	NM_001080503
0	NA	CCDC160	NM_001101357.1	NM_001101357
0	NA	CCDC164	NM_145038.2	NM_145038
0	NA	CCDC166	NM_001162914.1	NM_001162914
0	NA	CCDC167	NM_138493.2	NM_138493
0	NA	CCDC168	NM_001146197.1	NM_001146197
0	NA	CCDC169-SOHLH2	NM_001198910.1	NM_001198910
0	NA	CCDC17	NM_001114938.2	NM_001114938
0	NA	CCDC18	NM_206886.3	NM_206886
0	NA	CCDC19	NM_012337.2	NM_012337
0	NA	CCDC22	NM_014008.3	NM_014008
0	NA	CCDC23	NM_199342.3	NM_199342
0	NA	CCDC24	NM_152499.1	NM_152499
0	NA	CCDC25	NM_018246.2	NM_018246
0	NA	CCDC27	NM_152492.2	NM_152492
0	NA	CCDC28A	NM_015439.2	NM_015439
0	NA	CCDC28B	NM_024296.3	NM_024296
0	NA	CCDC3	NM_031455.3	NM_031455
0	NA	CCDC30	NM_001080850.2	NM_001080850
0	NA	CCDC33	NM_025055.4	NM_025055
0	NA	CCDC34	NM_030771.1	NM_030771
0	NA	CCDC36	NM_001135197.1	NM_001135197
0	NA	CCDC37	NM_182628.2	NM_182628
0	NA	CCDC38	NM_182496.2	NM_182496
0	NA	CCDC39	NM_181426.1	NM_181426
0	NA	CCDC40	NM_017950.3	NM_017950
0	NA	CCDC41	NM_001042399.1	NM_001042399
0	NA	CCDC42	NM_144681.2	NM_144681
0	NA	CCDC42B	NM_001144872.1	NM_001144872
0	NA	CCDC43	NM_144609.2	NM_144609
0	NA	CCDC47	NM_020198.2	NM_020198
0	NA	CCDC48	NM_024768.2	NM_024768
0	NA	CCDC50	NM_178335.2	NM_178335
0	NA	CCDC51	NM_024661.4	NM_024661
0	NA	CCDC53	NM_016053.2	NM_016053
0	NA	CCDC54	NM_032600.2	NM_032600
0	NA	CCDC57	NM_198082.2	NM_198082
0	NA	CCDC58	NM_001017928.2	NM_001017928
0	NA	CCDC59	NM_014167.4	NM_014167
0	NA	CCDC6	NM_005436.4	NM_005436
0	NA	CCDC60	NM_178499.3	NM_178499
0	NA	CCDC62	NM_201435.4	NM_201435
0	NA	CCDC63	NM_152591.1	NM_152591
0	NA	CCDC64	NM_207311.2	NM_207311
0	NA	CCDC64B	NM_001103175.1	NM_001103175
0	NA	CCDC65	NM_033124.4	NM_033124
0	NA	CCDC66	NM_001141947.1	NM_001141947
0	NA	CCDC67	NM_181645.3	NM_181645
0	NA	CCDC68	NM_025214.2	NM_025214
0	NA	CCDC69	NM_015621.2	NM_015621
0	NA	CCDC7	NM_001026383.1	NM_001026383
0	NA	CCDC70	NM_031290.2	NM_031290
0	NA	CCDC71	NM_022903.3	NM_022903
0	NA	CCDC71L	NM_175884.4	NM_175884
0	NA	CCDC73	NM_001008391.3	NM_001008391
0	NA	CCDC74A	NM_138770.2	NM_138770
0	NA	CCDC74B	NM_207310.2	NM_207310
0	NA	CCDC75	NM_174931.3	NM_174931
0	NA	CCDC77	NM_032358.3	NM_032358
0	NA	CCDC78	NM_001031737.2	NM_001031737
0	NA	CCDC79	NM_001136505.1	NM_001136505
0	NA	CCDC8	NM_032040.4	NM_032040
0	NA	CCDC80	NM_199512.1	NM_199512
0	NA	CCDC81	NM_001156474.1	NM_001156474
0	NA	CCDC82	NM_024725.3	NM_024725
0	NA	CCDC83	NM_173556.3	NM_173556
0	NA	CCDC84	NM_198489.1	NM_198489
